City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Port Elizabeth,ZA,-33.918,25.5701,63.1,94,40,13.8,scattered clouds
179,Paramonga,PE,-10.6667,-77.8333,63.75,85,5,7.63,clear sky
180,Zdunska Wola,PL,51.5992,18.9397,43.25,83,2,3.0,clear sky
181,Deputatskiy,RU,69.3,139.9,4.28,74,100,1.05,overcast clouds
182,Beeville,US,28.4008,-97.7483,74.75,88,1,5.75,clear sky
183,Elat,IL,29.5581,34.9482,73.24,56,54,0.0,broken clouds
184,Mattru,SL,7.6244,-11.8332,71.47,98,100,0.81,light rain
185,Half Moon Bay,US,37.4636,-122.4286,61.7,79,20,6.91,few clouds
186,Pokhara,NP,28.2333,83.9833,62.15,79,90,1.14,overcast clouds
187,Zambezi,ZM,-13.5432,23.1047,66.24,88,98,3.47,overcast clouds
188,Hirara,JP,24.8,125.2833,80.87,65,20,9.22,few clouds
189,Marsh Harbour,BS,26.5412,-77.0636,76.5,62,11,5.64,few clouds
190,Te Anau,NZ,-45.4167,167.7167,51.93,79,99,7.14,overcast clouds
191,Faya,SA,18.3851,42.4509,53.71,54,7,6.69,clear sky
192,Terney,RU,45.0503,136.6092,45.81,80,100,6.76,overcast clouds
193,Sawtell,AU,-30.3833,153.1,71.92,68,90,9.22,overcast clouds
194,Carmen,MX,18.6333,-91.8333,77.04,68,16,9.86,few clouds
195,Kruisfontein,ZA,-34.0033,24.7314,60.89,88,100,17.78,overcast clouds
196,Bad Ems,DE,50.3333,7.7167,55.38,92,100,6.04,light rain
197,Ilulissat,GL,69.2167,-51.1,32.02,93,75,13.8,light snow
198,Marshall,US,34.3834,-86.3333,55.15,79,1,4.61,clear sky
199,Christchurch,NZ,-43.5333,172.6333,61.32,66,39,8.01,scattered clouds
200,Constitucion,CL,-35.3333,-72.4167,50.47,91,71,6.11,broken clouds
201,Khatanga,RU,71.9667,102.5,5.52,96,100,11.68,light snow
202,Broome,US,42.2506,-75.833,52.66,78,20,1.01,few clouds
203,Nyuksenitsa,RU,60.4128,44.2397,38.43,98,100,3.98,overcast clouds
204,Torbay,CA,47.6666,-52.7314,46.27,94,90,12.66,overcast clouds
205,Shirokiy,RU,49.758,129.523,36.81,24,57,4.76,broken clouds
206,Yeppoon,AU,-23.1333,150.7333,78.58,59,82,18.54,broken clouds
207,Madhugiri,IN,13.6606,77.2092,72.95,80,60,7.23,broken clouds
208,Viseu,PT,40.661,-7.9097,57.85,96,100,6.53,light rain
209,Rocha,UY,-34.4833,-54.3333,63.95,98,96,4.03,overcast clouds
210,Ostrovnoy,RU,68.0531,39.5131,30.16,88,86,14.92,overcast clouds
211,Kropotkin,RU,45.4375,40.5756,46.49,92,97,8.41,overcast clouds
212,Metapan,SV,14.3333,-89.45,68.31,87,36,3.78,scattered clouds
213,Kirkwall,GB,58.9848,-2.9587,50.34,91,75,5.75,broken clouds
214,Meadow Lake,US,34.8014,-106.5436,62.67,45,92,11.61,overcast clouds
215,Grand Gaube,MU,-20.0064,57.6608,73.38,78,0,5.01,clear sky
216,Acari,PE,-15.4311,-74.6158,67.82,72,63,2.64,broken clouds
217,Konevo,RU,62.1215,39.3192,39.31,97,100,3.4,light rain
218,Matara,LK,5.9485,80.5353,80.91,81,100,9.53,overcast clouds
219,Portland,US,45.5234,-122.6762,55.98,45,20,3.0,few clouds
220,Paamiut,GL,61.994,-49.6678,31.28,71,95,7.85,overcast clouds
221,Grand-Lahou,CI,5.1367,-5.0242,77.59,88,97,11.92,overcast clouds
222,Charters Towers,AU,-20.1,146.2667,90.03,39,92,15.05,overcast clouds
223,Guadalupe Victoria,MX,32.2869,-115.105,79.88,50,40,8.59,scattered clouds
224,Serenje,ZM,-13.2325,30.2352,66.85,49,86,3.0,overcast clouds
225,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.85,98,84,2.37,broken clouds
226,San Pedro,PH,14.35,121.0167,86.32,73,75,6.91,broken clouds
227,Kampot,KH,10.6167,104.1833,84.25,72,59,5.7,broken clouds
228,Yenagoa,NG,4.9247,6.2642,75.87,93,100,3.29,overcast clouds
229,Williston,US,48.147,-103.618,33.31,67,3,5.68,clear sky
230,Mandan,US,46.8267,-100.8896,33.78,65,1,1.01,clear sky
231,Victoria,HK,22.2855,114.1577,81.97,73,37,5.99,scattered clouds
232,Guadalajara,MX,20.6667,-103.3333,69.98,69,23,2.28,few clouds
233,Necochea,AR,-38.5473,-58.7368,51.04,81,100,8.95,overcast clouds
234,Cooma,AU,-36.2333,149.1333,69.57,30,99,4.61,overcast clouds
235,Lichuan,CN,30.3,108.85,49.6,94,100,2.77,overcast clouds
236,Tecoanapa,MX,16.5167,-98.75,77.88,84,10,4.14,clear sky
237,Airai,TL,-8.9266,125.4092,78.15,41,72,2.35,broken clouds
238,Dingle,PH,10.9995,122.6711,84.11,74,71,15.28,broken clouds
239,Mokokchung,IN,26.3333,94.5333,66.16,59,49,3.06,scattered clouds
240,Jangaon,IN,17.7167,79.1833,74.62,55,100,7.14,overcast clouds
241,Saint-Leu,RE,-21.15,55.2833,69.67,74,5,0.49,clear sky
242,Pocatello,US,42.8713,-112.4455,49.48,84,75,1.01,broken clouds
243,Port Macquarie,AU,-31.4333,152.9167,71.56,49,99,11.63,overcast clouds
244,Larkollen,NO,59.3339,10.6656,51.15,56,90,20.71,heavy intensity rain
245,Ambilobe,MG,-13.2,49.05,73.49,87,25,3.27,scattered clouds
246,Westport,US,41.1415,-73.3579,59.14,88,1,4.0,clear sky
247,Richards Bay,ZA,-28.783,32.0377,62.78,93,60,6.69,broken clouds
248,Cradock,ZA,-32.1642,25.6192,67.42,32,100,5.75,overcast clouds
249,Talnakh,RU,69.4865,88.3972,-14.1,98,87,4.29,overcast clouds
250,Bayburt,TR,40.2589,40.2278,40.23,88,13,2.91,few clouds
251,Ponta Do Sol,PT,32.6667,-17.1,71.71,75,44,1.12,scattered clouds
252,Saint Anthony,US,45.0205,-93.218,40.93,65,75,1.01,broken clouds
253,Road Town,VG,18.4167,-64.6167,80.69,68,6,13.24,clear sky
254,Guerrero Negro,MX,27.9769,-114.0611,63.93,84,0,10.69,clear sky
255,Ouadda,CF,8.0777,22.4007,67.41,70,86,2.3,overcast clouds
256,Fairview,US,40.8126,-73.999,59.43,73,90,6.91,overcast clouds
257,Dakoro,NE,14.5106,6.765,81.1,17,100,9.66,overcast clouds
258,Thinadhoo,MV,0.5333,72.9333,82.76,76,100,20.58,overcast clouds
259,Shingu,JP,33.7333,135.9833,72.59,64,71,4.38,broken clouds
260,Inhambane,MZ,-23.865,35.3833,67.78,87,0,2.04,clear sky
261,Qasigiannguit,GL,68.8193,-51.1922,32.25,95,100,6.58,overcast clouds
262,Omaruru,NA,-21.4333,15.9333,58.96,24,0,3.36,clear sky
263,Rincon,US,32.296,-81.2354,62.51,88,1,5.75,clear sky
264,Amberley,US,39.2048,-84.428,55.04,75,90,7.0,overcast clouds
265,Huarmey,PE,-10.0681,-78.1522,64.67,82,11,7.45,few clouds
266,Umm Lajj,SA,25.0213,37.2685,81.66,51,78,9.28,broken clouds
267,Itarema,BR,-2.9248,-39.9167,80.19,77,32,13.38,scattered clouds
